name,category,brand_spec,location,status,purchase_date,price
Timbangan 085,Umum,Philips 50PUS7505,Ruang Marketing,tersedia,2021-08-26,4700000
Switch Lab 086,Jaringan,Aruba Instant On 1830 24G,Ruang QC,rusak,2020-01-07,15600000
PC Reception 087,Komputer,Asus ProArt PA90 / i9-10900 / 32GB / SSD 2TB,Workshop,dipinjam,2023-06-07,8400000
Laptop QA 088,Laptop,Dell Latitude 5420 / i7-1165G7 / 16GB / SSD 512GB,Ruang Operasional,tersedia,2022-01-28,22700000
Router Edge 089,Jaringan,Aruba Instant On 1830 24G,Ruang Marketing,tersedia,2021-08-12,9400000
Laptop Support 090,Laptop,HP ProBook 450 G8 / i5-1135G7 / 8GB / SSD 512GB,Ruang Developer,dipinjam,2022-11-20,13900000
Laptop Staff 091,Laptop,MacBook Air M2 / 8GB / SSD 256GB,Ruang HRD,tersedia,2022-11-08,21000000
Microscope 092,Umum,Panasonic KX-TGE210,Ruang Keuangan,tersedia,2024-02-28,5100000
PC Kasir 093,Komputer,HP EliteDesk 800 G6 / i5-10500 / 8GB / SSD 256GB,Gudang,tersedia,2023-03-18,12400000
PC Desktop Dev 094,Komputer,Dell OptiPlex 7090 / i7-11700 / 16GB / SSD 512GB,Workshop,tersedia,2024-08-03,19900000
AP Meeting 095,Jaringan,Cisco Catalyst 2960 24-Port,Ruang Teknisi,tersedia,2020-07-12,2300000
Laptop Field 096,Laptop,Lenovo ThinkPad E14 / Ryzen 5 / 8GB / SSD 512GB,Ruang Operasional,dipinjam,2021-06-12,28100000
Firewall 097,Jaringan,Cisco Catalyst 2960 24-Port,Ruang IT,tersedia,2022-03-15,19300000
Microscope 098,Umum,Daikin R32 inverter 1PK,Meeting Room B,tersedia,2020-08-07,10300000
Firewall 099,Jaringan,Mikrotik RB4011iGS+,Server Farm,dipinjam,2022-02-05,17800000
Laptop Sales 100,Laptop,Dell Latitude 5420 / i7-1165G7 / 16GB / SSD 512GB,Gudang,tersedia,2020-05-10,9700000
